k W
6.382634999999999784e-04 5.158410581715793011e-16
6.456542000000000227e-04 5.401518676592264166e-16
6.531306000000000177e-04 5.656084024233681054e-16
6.606933999999999854e-04 5.922646069667092638e-16
6.683439000000000437e-04 6.201770926298651248e-16
6.760829999999999574e-04 6.494050555152452283e-16
6.839116000000000336e-04 6.800104874328233572e-16
6.918309999999999564e-04 7.120583186611338180e-16
6.998419999999999988e-04 7.456164849982637336e-16
7.079458000000000278e-04 7.807562031959946053e-16
7.161433999999999508e-04 8.175519658309081612e-16
7.244359999999999602e-04 8.560819023422131775e-16
7.328245000000000375e-04 8.964277123205647832e-16
7.413101999999999756e-04 9.386749170489603251e-16
7.498942000000000411e-04 9.829130745986438118e-16
7.585775999999999587e-04 1.029236212014661639e-15
7.673614999999999950e-04 1.077742470038530910e-15
7.762471000000000171e-04 1.128534736240014751e-15
7.852356000000000006e-04 1.181720714181385698e-15
7.943282000000000294e-04 1.237413325662035854e-15
8.035260999999999706e-04 1.295730570179291863e-15
8.128305000000000165e-04 1.356796237569466071e-15
8.222426000000000344e-04 1.420739856893991840e-15
8.317637999999999594e-04 1.487696986407880300e-15
8.413951000000000242e-04 1.557809668210460581e-15
8.511379999999999814e-04 1.631226761546825949e-15
8.609937999999999489e-04 1.708103705650545398e-15
8.709635999999999767e-04 1.788603689672816824e-15
8.810489000000000341e-04 1.872897705826386370e-15
8.912508999999999883e-04 1.961164203616137339e-15
9.015711000000000254e-04 2.053590675841652447e-15
9.120108000000000468e-04 2.150372934543601898e-15
9.225713999999999877e-04 2.251716328071212706e-15
9.332543000000000002e-04 2.357835982087020276e-15
9.440609000000000197e-04 2.468956633928321814e-15
9.549925999999999814e-04 2.585314594062413332e-15
9.660508999999999633e-04 2.707155854535399533e-15
9.772372000000000090e-04 2.834739494457231434e-15
9.885530999999999052e-04 2.968335989332940365e-15
1.000000000000000021e-03 3.108228550993460941e-15
1.011579000000000081e-03 3.254713840811684314e-15
1.023292999999999989e-03 3.408102756489394828e-15
1.035141999999999963e-03 3.568720922344943441e-15
1.047128999999999942e-03 3.736908480299598023e-15
1.059253999999999925e-03 3.913022406954851154e-15
1.071518999999999944e-03 4.097436245246377494e-15
1.083926999999999937e-03 4.290541277146301459e-15
1.096477999999999906e-03 4.492746243039591678e-15
1.109175000000000005e-03 4.704481683692773830e-15
1.122018000000000017e-03 4.926195500148392900e-15
1.135011000000000006e-03 5.158358402642143623e-15
1.148153999999999971e-03 5.401462470005146886e-15
1.161448999999999945e-03 5.656023174268241751e-15
1.174897999999999958e-03 5.922581584669823648e-15
1.188501999999999918e-03 6.201701561611262886e-15
1.202263999999999980e-03 6.493976311571151919e-15
1.216185999999999960e-03 6.800025450969739817e-15
1.230268999999999981e-03 7.120497916946537967e-15
1.244515000000000074e-03 7.456073579415068150e-15
1.258924999999999931e-03 7.807464421325074171e-15
1.273503000000000048e-03 8.175415563885116134e-15
1.288249999999999899e-03 8.560706883962406511e-15
1.303167000000000041e-03 8.964156838500424210e-15
1.318256999999999979e-03 9.386620294707163999e-15
1.333521000000000055e-03 9.828993386851396372e-15
1.348962999999999898e-03 1.029221454599353168e-14
1.364582999999999942e-03 1.077726660026573955e-14
1.380383999999999908e-03 1.128517818925876936e-14
1.396368000000000045e-03 1.181702556202025805e-14
1.412538000000000075e-03 1.237393850923012336e-14
1.428893999999999997e-03 1.295709751003994428e-14
1.445440000000000093e-03 1.356773960798745720e-14
1.462177000000000051e-03 1.420715890980866228e-14
1.479108000000000029e-03 1.487671287753663409e-14
1.496235999999999964e-03 1.557782191625224413e-14
1.513561000000000073e-03 1.631197277656168996e-14
1.531086999999999986e-03 1.708072107160472866e-14
1.548817000000000076e-03 1.788569963133148320e-14
1.566750999999999908e-03 1.872861545197627746e-14
1.584892999999999979e-03 1.961125479484422210e-14
1.603245000000000104e-03 2.053549083285478287e-14
1.621810000000000005e-03 2.150328344340741722e-14
1.640589999999999930e-03 2.251668715292610911e-14
1.659586999999999911e-03 2.357784821128211655e-14
1.678804000000000103e-03 2.468901744869098498e-14
1.698244000000000012e-03 2.585255710596022781e-14
1.717907999999999978e-03 2.707092928619415004e-14
1.737800999999999972e-03 2.834671811744292748e-14
1.757923999999999902e-03 2.968263679704499455e-14
1.778279000000000014e-03 3.108151260632676305e-14
1.798871000000000064e-03 3.254630946295534690e-14
1.819700999999999957e-03 3.408013997009310772e-14
1.840772000000000068e-03 3.568625720276601997e-14
1.862086999999999900e-03 3.736806537260752829e-14
1.883649000000000044e-03 3.912912956668722294e-14
1.905461000000000004e-03 4.097318964794638637e-14
1.927525000000000028e-03 4.290415474164778405e-14
1.949844999999999964e-03 4.492612105646451339e-14
1.972423000000000058e-03 4.704337748444200485e-14
1.995261999999999817e-03 4.926040851283130418e-14
2.018366000000000170e-03 5.158192755102713598e-14
2.041737999999999973e-03 5.401284892147269588e-14
2.065379999999999907e-03 5.655833397157278298e-14
2.089296000000000035e-03 5.922377686387928097e-14
2.113489000000000079e-03 6.201483823739985654e-14
2.137962000000000196e-03 6.493743047987245153e-14
2.162719000000000013e-03 6.799774820975248749e-14
2.187762000000000213e-03 7.120229794219605162e-14
2.213094999999999993e-03 7.455786145725039999e-14
2.238720999999999940e-03 7.807156324168174247e-14
2.264644000000000119e-03 8.175085085375405829e-14
2.290868000000000158e-03 8.560353009320604081e-14
2.317394999999999872e-03 8.963777540991559044e-14
2.344229000000000191e-03 9.386213851883948172e-14
2.371373999999999878e-03 9.828558307369614009e-14
2.398832999999999955e-03 1.029174854284244727e-13
2.426610000000000052e-03 1.077676709230546090e-13
2.454708999999999797e-03 1.128464252240873880e-13
2.483133000000000215e-03 1.181645204970255796e-13
2.511886000000000067e-03 1.237332420856263234e-13
2.540973000000000190e-03 1.295643877170070659e-13
2.570395999999999966e-03 1.356703356626648830e-13
2.600159999999999798e-03 1.420640367805091607e-13
2.630267999999999842e-03 1.487590361864535592e-13
2.660725000000000069e-03 1.557695466410305881e-13
2.691535000000000108e-03 1.631104225092444353e-13
2.722701000000000114e-03 1.707972579098825402e-13
2.754228999999999965e-03 1.788463163034387396e-13
2.786120999999999910e-03 1.872747067885858436e-13
